,capacity,eightd_has_key_dispenser,lat,lon,name,region_id,rental_url,short_name,station_id
472,38,False,40.781410700190015,-73.95595908164978,E 88 St & Park Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3284,7293.10,3284
473,43,False,40.78839,-73.9747,W 87 St & Amsterdam Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3285,7458.03,3285
474,0,False,40.7806284,-73.9521667,E 89 St & 3 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3286,7265.10,3286
475,39,False,40.778301,-73.9488134,E 88 St & 1 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3288,7235.13,3288
476,32,False,40.79017948095081,-73.97288918495178,W 90 St & Amsterdam Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3289,7432.04,3289
477,3,False,40.7779453,-73.946041,E 89 St & York Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3290,7204.08,3290
478,43,True,40.7857851,-73.957481,5 Ave & E 93 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3292,7372.10,3292
479,24,False,40.7921,-73.9739,W 92 St & Broadway,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3293,7502.01,3293
480,38,True,40.7835016,-73.955327,E 91 St & Park Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3294,7344.05,3294
481,59,True,40.79127,-73.964839,Central Park W & W 96 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3295,7499.05,3295
482,42,False,40.782454175279874,-73.9489196240902,E 93 St & 2 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3296,7286.02,3296
483,21,False,40.6686627,-73.97988067,6 St & 7 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3297,3834.10,3297
484,23,False,40.686371,-73.99383324,Warren St & Court St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3298,4413.08,3298
485,25,False,40.78813,-73.95206,E 98 St & Park Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3299,7443.17,3299
486,25,True,40.66514681533792,-73.97637605667114,Prospect Park West & 8 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3300,3722.04,3300
487,39,False,40.7919557,-73.968087,Columbus Ave & W 95 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3301,7520.07,3301
488,22,False,40.7969347,-73.9643412291,Columbus Ave & W 103 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3302,7595.17,3302
489,25,False,40.6849894,-73.99440329,Butler St & Court St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3303,4339.01,3303
490,27,False,40.668127,-73.98377641,6 Ave & 9 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3304,3803.09,3304
491,39,False,40.78112229934166,-73.94965589046478,E 91 St & 2 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3305,7286.01,3305
492,23,False,40.6662078,-73.98199886,10 St & 7 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3306,3762.08,3306
493,31,False,40.7941654,-73.974124,West End Ave & W 94 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3307,7524.09,3307
494,27,False,40.6861758,-73.99645295,Kane St & Clinton St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3308,4455.11,3308
495,30,False,40.7859201,-73.94860294,E 97 St & 3 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3309,7365.08,3309
496,24,False,40.663779,-73.98396846,14 St & 7 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3310,3731.11,3310
497,21,False,40.68763155,-74.0016256,Columbia St & Kane St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3311,4422.05,3311
498,39,False,40.7817212,-73.94594,1 Ave & E 94 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3312,7286.05,3312
499,29,False,40.6663181,-73.9854617,6 Ave & 12 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3313,3803.05,3313
500,32,False,40.7937704,-73.971888,W 95 St & Broadway,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3314,7541.01,3314
501,23,False,40.6847514,-73.99917254,Henry St & Degraw St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3315,4380.08,3315
502,24,False,40.6686273,-73.98700053,10 St & 5 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3317,3842.08,3317
503,39,False,40.7839636,-73.9471673,2 Ave & E 96 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3318,7338.02,3318
504,21,False,40.666287,-73.98895053,14 St & 5 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3319,3771.06,3319
505,49,True,40.79406660818552,-73.96286845207214,Central Park West & W 100 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3320,7538.12,3320
506,25,False,40.6831164,-73.99785267,Clinton St & Union St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3321,4266.03,3321
507,25,False,40.668603,-73.9904394,12 St & 4 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3322,3882.01,3322
508,59,True,40.7981856,-73.9605909006,W 106 St & Central Park West,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3323,7606.01,3323
509,25,False,40.6685455,-73.99333264,3 Ave & 14 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3324,3850.03,3324
510,21,False,40.67434,-74.00194698,Clinton St & Centre St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3326,4045.01,3326
511,27,False,40.7877214,-73.94728331,3 Ave & E 100 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3327,7414.17,3327
512,39,False,40.795,-73.9645,W 100 St & Manhattan Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3328,7538.14,3328
513,27,False,40.6829151,-73.99318208,Degraw St & Smith St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3329,4298.05,3329
514,19,False,40.6725058,-74.00494695,Henry St & Bay St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3330,3972.08,3330
515,39,False,40.8013434,-73.9711457439,Riverside Dr & W 104 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3331,7623.13,3331
516,19,False,40.681990442707026,-73.99079024791718,Degraw St & Hoyt St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3332,4258.07,3332
517,21,False,40.6747055,-74.0075572,Columbia St & Lorraine St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3333,4103.08,3333
518,41,False,40.787801,-73.953559,E 97 St & Madison Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3336,7393.09,3336
519,23,False,40.67363551341504,-74.01195555925369,Dwight St & Van Dyke St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3337,3981.10,3337
520,31,False,40.7862586,-73.94552579,2 Ave & E 99 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3338,7386.10,3338
521,23,False,40.6765304,-73.97846879,Berkeley Pl & 6 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3339,4134.06,3339
522,21,False,40.6753274,-74.0100698,Wolcott St & Dwight St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3340,4054.02,3340
523,41,True,40.795346,-73.96186,Central Park West & W 102 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3341,7577.24,3341
524,23,False,40.6777748,-74.0094613,Pioneer St & Richards St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3342,4128.08,3342
525,23,False,40.7997568,-73.9621128676,W 107 St & Columbus Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3343,7619.05,3343
526,19,False,40.679043,-74.011169,Pioneer St & Van Brunt St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3344,4169.04,3344
527,35,False,40.78948541553215,-73.95242929458618,Madison Ave & E 99 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3345,7443.01,3345
528,29,False,40.675146838709786,-73.97523209452629,Berkeley Pl & 7 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3346,4051.01,3346
529,21,False,40.6773429,-74.01275056,Van Brunt St & Wolcott St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3347,4095.03,3347
530,19,False,40.677236,-74.015665,Coffey St & Conover St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3348,4137.10,3348
531,30,False,40.6729679,-73.97087984,Grand Army Plaza & Plaza St West,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3349,4010.15,3349
532,39,False,40.7973721,-73.97041192,W 100 St & Broadway,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3350,7580.01,3350
533,25,False,40.7869946,-73.94164802,E 102 St & 1 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3351,7407.13,3351
534,21,False,40.67267243410948,-74.0087952464819,Sigourney St & Columbia St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3352,3940.04,3352
535,31,True,40.668132,-73.97363831,3 St & Prospect Park West,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3354,3865.05,3354
536,25,False,40.76800889305947,-73.96845281124115,E 66 St & Madison Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3355,6969.08,3355
537,21,False,40.7746671,-73.98470567,Amsterdam Ave & W 66 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3356,7149.05,3356
538,35,False,40.8008363,-73.9664492472,W 106 St & Amsterdam Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3357,7634.01,3357
539,25,False,40.6711978,-73.97484126,Garfield Pl & 8 Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3358,3978.13,3358
540,35,False,40.7691572,-73.96703464,E 68 St & Madison Ave,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3359,6932.15,3359
541,25,False,40.7829391,-73.9786517,Amsterdam Ave & W 79 St,71,http://app.citibikenyc.com/S6Lr/IBV092JufD?station_id=3360,7311.02,3360
